
M,K,N,cache size (KB),block size (Byte),# of ways,# of read miss,# write miss,
{10},{10},{10},{2},{16},{4},,,



M,K,N,cache size (KB),block size (Byte),# of ways,# of read miss,# write miss,

M,K,N,cache size (KB),block size (Byte),# of ways,# of read miss,# write miss,

M,K,N,cache size (KB),block size (Byte),# of ways,# of read miss,# write miss,

M,K,N,cache size (KB),block size (Byte),# of ways,# of read miss,# write miss,
{10},{10},{10},{2},{16},{4},0,0,



M,K,N,cache size (KB),block size (Byte),# of ways,# of read miss,# write miss,

M,K,N,cache size (KB),block size (Byte),# of ways,# of read miss,# write miss,

M,K,N,cache size (KB),block size (Byte),# of ways,# of read miss,# write miss,
{10},{10},{10},{2},{16},{4},45,0,



M,K,N,cache size (KB),block size (Byte),# of ways,# of read miss,# write miss,
256,256,256,2,16,4,16789504,0,



M,K,N,cache size (KB),block size (Byte),# of ways,# of read miss,# write miss,
256,256,256,2,16,4,16785408,0,



M,K,N,cache size (KB),block size (Byte),# of ways,# of read miss,# write miss,
256,256,256,2,16,4,16789504,0,



M,K,N,cache size (KB),block size (Byte),# of ways,# of read miss,# write miss,
256,256,256,2,16,4,16855296,0,


